"X1","X2","n","Sample_real","quantile_99_9","real_n"
450,"aggR11",16101,"aggR11_1",41.2496354721484,16059.7503645279
450,"dfrA243",511,"aggR11_1",3059.13029908572,NA
450,"sul336",65,"aggR11_1",651.156032356883,NA
450,"mcr28",290,"aggR11_1",3302.48592248652,NA
450,"dfrA15",6843,"aggR11_1",45044.3140768821,NA
450,"dfrA369",725,"aggR11_1",8679.36043701556,NA
450,"qnrB7",989,"aggR11_1",3932.28470087176,NA
450,"dfrA58",138,"aggR11_1",570.011106605434,NA
450,"aph6I29",419,"aggR11_1",1564.71149082057,NA
450,"invE132",205,"aggR11_1",1873.07522286973,NA
450,"aadA57",6,"aggR11_1",23.5136927375065,NA
450,"ant2Ia1",48,"aggR11_1",225.708178159779,NA
450,"stx23291",8,"aggR11_1",78.4426543581793,NA
450,"tetA13",74,"aggR11_1",179.496739852089,NA
450,"chuA24",23,"aggR11_1",120.880769045547,NA
450,"tetB43",22,"aggR11_1",186.174284143104,NA
450,"bfpA82",193,"aggR11_1",1344.94106231646,NA
450,"stx1301",60,"aggR11_1",383.16671651034,NA
450,"eae6271",60,"aggR11_1",513.949347429163,NA
450,"dfrA1",17,"aggR11_1",171.576934043566,NA
450,"ipaH921",164,"aggR11_1",892.457127114583,NA
450,"gadph195",14,"aggR11_1",105.058327370762,NA
450,"yjaA12",29,"aggR11_1",194.115628268021,NA
450,"sul15",96,"aggR11_1",406.852140513735,NA
450,"eltA73",15,"aggR11_1",100.946481015484,NA
450,"mphA18",2,"aggR11_1",17.0702477702863,NA
450,"aac3VI23",13,"aggR11_1",43.3275644759138,NA
450,"Tsp19",2,"aggR11_1",21.8678047948649,NA
450,"trpA354",27,"aggR11_1",134.062059371692,NA
450,"sul22",28,"aggR11_1",234.331413109493,NA
450,"aac6I6",6,"aggR11_1",24.2770971057034,NA
450,"tetM34",2,"aggR11_1",19.905700783891,NA
450,"mcr64",8,"aggR11_1",89.7884189932358,NA
450,"aadA1",2,"aggR11_1",14.1571352863536,NA
450,"aaiC17",1,"aggR11_1",20.0162425863696,NA
450,"qnrB35",1,"aggR11_1",1,NA
450,"stx11581",8,"aggR11_1",41.8241822416477,NA
450,"stx2181",2,"aggR11_1",28.4620161784287,NA
450,"uidA616",5,"aggR11_1",51.0816207588305,NA
450,"aaiC47",1,"aggR11_1",13.6202465566286,NA
450,"ipaH321",3,"aggR11_1",21.2616862461866,NA
450,"aadA21",1,"aggR11_1",9.14218305826812,NA
450,"astA13",2,"aggR11_1",10.8982949359371,NA
450,"aac3II63",1,"aggR11_1",3.768131939875,NA
450,"eae111",1,"aggR11_1",23.7304952007239,NA
451,"aggR11",14996,"aggR11_2",41.2496354721484,14954.7503645279
451,"aph6I29",556,"aggR11_2",1564.71149082057,NA
