"Sample_id","num_consistent_probes","percent_consistent_probes"
"20231211_mrsa_alt1",63,100
"20240108_mrsa_alt3",63,100
"Ecoli70",60,95.2380952380952
"K_oxytoca",63,100
"Kp_R884",61,96.8253968253968
"Kp_S100",63,100
"P_lurida",63,100
"S_enterica",63,100
"V_cholera",63,100
"aaiC47",63,100
"aggR11",63,100
"zNegative_1",63,100
"zNegative_10",63,100
"zNegative_11",63,100
"zNegative_12",63,100
"zNegative_13",63,100
"zNegative_14",63,100
"zNegative_15",63,100
"zNegative_16",63,100
"zNegative_17",63,100
"zNegative_18",63,100
"zNegative_19",63,100
"zNegative_2",63,100
"zNegative_20",63,100
"zNegative_21",63,100
"zNegative_22",63,100
"zNegative_23",63,100
"zNegative_24",63,100
"zNegative_25",63,100
"zNegative_26",63,100
"zNegative_27",63,100
"zNegative_28",63,100
"zNegative_29",63,100
"zNegative_3",63,100
"zNegative_30",63,100
"zNegative_31",63,100
"zNegative_32",63,100
"zNegative_33",63,100
"zNegative_34",63,100
"zNegative_35",63,100
"zNegative_36",63,100
"zNegative_37",63,100
"zNegative_38",63,100
"zNegative_39",63,100
"zNegative_4",63,100
"zNegative_40",63,100
"zNegative_41",63,100
"zNegative_42",63,100
"zNegative_43",63,100
"zNegative_44",63,100
"zNegative_45",63,100
"zNegative_46",63,100
"zNegative_47",63,100
"zNegative_48",63,100
"zNegative_5",63,100
"zNegative_6",63,100
"zNegative_7",63,100
"zNegative_8",63,100
"zNegative_9",63,100
"zPCRNeg",63,100
