"Sample_id","num_consistent_probes","percent_consistent_probes"
"HH03C",63,100
"HH03CH",61,96.8253968253968
"HH03H",60,95.2380952380952
"HH03S",61,96.8253968253968
"HH08C",60,95.2380952380952
"HH08CH",61,96.8253968253968
"HH08H",61,96.8253968253968
"HH13C",63,100
"HH13CH",62,98.4126984126984
"HH13H",61,96.8253968253968
"HH13S",62,98.4126984126984
"HH14C",62,98.4126984126984
"HH14CH",63,100
"HH14H",61,96.8253968253968
"HH14S",62,98.4126984126984
"HH15C",61,96.8253968253968
"HH15CH",61,96.8253968253968
"HH15H",61,96.8253968253968
"HH16C",62,98.4126984126984
"HH16CH",62,98.4126984126984
"HH16H",60,95.2380952380952
"HH16S",62,98.4126984126984
"HH17C",60,95.2380952380952
"HH17CH",63,100
"HH17H",63,100
"HH17S",59,93.6507936507936
"HH18C",63,100
"HH18CH",63,100
"HH18H",63,100
"HH18S",63,100
"uidA160",63,100
"zNegative_1",63,100
"zNegative_2",63,100
"zNegative_3",63,100
"zNegative_4",63,100
"zNegative_5",63,100
"zNegative_6",63,100
"zNegative_7",63,100
"zNegative_8",63,100
"zPCRNeg",63,100
