X2,n,Sample_real,quantile_99_9,real_n,wgs
dfrA15,12917,69_1,23067.879,NA,f
dfrA15,12663,57_1,23067.879,NA,t
dfrA15,12437,61_1,23067.879,NA,t
dfrA15,11154,65_1,23067.879,NA,t
dfrA15,10534,zSet2Negative_5,23067.879,NA,t
aggR11,10185,zaggR_1,1,10184,y
dfrA15,10101,zSet2Negative_1,23067.879,NA,t
dfrA15,9790,zSet2Negative_2,23067.879,NA,t
dfrA15,9300,zSet2Negative_8,23067.879,NA,t
dfrA15,8890,66_1,23067.879,NA,t
dfrA15,8761,52_1,23067.879,NA,t
dfrA15,8698,59_1,23067.879,NA,t
dfrA15,8403,76_2,23067.879,NA,t
dfrA15,8291,63_1,23067.879,NA,t
dfrA15,8105,49_1,23067.879,NA,t
dfrA15,8037,50_1,23067.879,NA,t
dfrA15,7942,51_2,23067.879,NA,t
dfrA15,7897,75_2,23067.879,NA,t
dfrA15,7817,55_2,23067.879,NA,t
dfrA15,7736,64_1,23067.879,NA,t
dfrA15,7630,58_1,23067.879,NA,t
dfrA15,7327,72_2,23067.879,NA,t
dfrA15,7186,52_2,23067.879,NA,t
dfrA15,7157,54_1,23067.879,NA,t
dfrA15,7068,68_2,23067.879,NA,t
dfrA15,6914,53_1,23067.879,NA,t
dfrA15,6906,50_2,23067.879,NA,t
dfrA15,6833,51_1,23067.879,NA,t
dfrA15,6772,zSet2Negative_4,23067.879,NA,t
dfrA15,6611,58_2,23067.879,NA,t
aggR11,6494,zaggR_2,1,6493,y
dfrA15,6313,62_1,23067.879,NA,t
dfrA15,6283,73_2,23067.879,NA,t
dfrA15,6144,69_2,23067.879,NA,f
dfrA15,6018,57_2,23067.879,NA,t
dfrA15,5952,71_2,23067.879,NA,f
dfrA15,5798,77_2,23067.879,NA,t
dfrA15,5739,zSet2Negative_7,23067.879,NA,t
dfrA15,5695,54_2,23067.879,NA,t
dfrA15,5659,zaggR_1,23067.879,NA,t
dfrA15,5605,zaaiC47_1,23067.879,NA,t
dfrA15,5500,68_1,23067.879,NA,t
dfrA15,5498,53_2,23067.879,NA,t
dfrA15,5372,56_1,23067.879,NA,t
dfrA15,5286,76_1,23067.879,NA,t
dfrA15,4908,zaaiC47_2,23067.879,NA,t
dfrA15,4894,60_1,23067.879,NA,t
dfrA15,4869,65_2,23067.879,NA,t
dfrA15,4785,71_1,23067.879,NA,f
dfrA15,4498,70_1,23067.879,NA,t
dfrA15,4457,zSet2Negative_6,23067.879,NA,t
dfrA15,4408,49_2,23067.879,NA,t
dfrA15,3778,66_2,23067.879,NA,t
dfrA15,3701,73_1,23067.879,NA,t
dfrA15,3579,56_2,23067.879,NA,t
dfrA15,3351,62_2,23067.879,NA,t
dfrA15,3297,zaggR_2,23067.879,NA,t
dfrA15,3171,77_1,23067.879,NA,t
aaiC47,3078,zaaiC47_1,3.372196133,3074.627804,y
aaiC47,2993,zaaiC47_2,3.372196133,2989.627804,y
dfrA15,2810,61_2,23067.879,NA,t
dfrA15,2739,60_2,23067.879,NA,t
dfrA15,2707,75_1,23067.879,NA,t
dfrA15,2659,72_1,23067.879,NA,t
dfrA15,2479,59_2,23067.879,NA,t
dfrA15,2297,48_2,23067.879,NA,t
dfrA15,2186,70_2,23067.879,NA,t
dfrA15,2066,64_2,23067.879,NA,t
uidA616,2065,65_1,50.19796756,2014.802032,y
aph6I29,1980,59_1,1633.719467,346.2805332,y
dfrA15,1884,55_1,23067.879,NA,t
uidA616,1799,75_2,50.19796756,1748.802032,y
aph6I29,1584,61_1,1633.719467,NA,f
qnrB7,1583,61_1,3218.597467,NA,t
chuA24,1521,65_1,89.39378987,1431.60621,y
