X1,X2,n
450,aggR11,16101
450,dfrA243,511
450,sul336,65
450,mcr28,290
450,dfrA15,6843
450,dfrA369,725
450,qnrB7,989
450,dfrA58,138
450,aph6I29,419
450,invE132,205
450,aadA57,6
450,ant2Ia1,48
450,stx23291,8
450,tetA13,74
450,chuA24,23
450,tetB43,22
450,bfpA82,193
450,stx1301,60
450,eae6271,60
450,dfrA1,17
450,ipaH921,164
450,gadph195,14
450,yjaA12,29
450,sul15,96
450,eltA73,15
450,mphA18,2
450,aac3VI23,13
450,Tsp19,2
450,trpA354,27
450,sul22,28
450,aac6I6,6
450,tetM34,2
450,mcr64,8
450,aadA1,2
450,aaiC17,1
450,qnrB35,1
450,stx11581,8
450,stx2181,2
450,uidA616,5
450,aaiC47,1
450,ipaH321,3
450,aadA21,1
450,astA13,2
450,aac3II63,1
450,eae111,1
451,aggR11,14996
451,aph6I29,556
451,dfrA15,7550
451,dfrA243,572
451,dfrA369,692
451,mcr28,272
451,tetA13,90
451,aac3VI23,19
451,qnrB7,1027
451,ipaH921,200
451,bfpA82,183
451,invE132,150
451,stx1301,44
451,dfrA58,183
451,stx11581,6
451,eae6271,34
451,tetB43,28
451,ant2Ia1,66
451,eltA73,14
451,sul15,140
451,sul336,85
451,trpA354,11
451,uidA616,12
451,stx23291,9
451,astA13,3
451,chuA24,16
451,eae111,3
451,aadA1,1
451,dfrA1,10
451,sul22,29
451,stx2181,4
451,yjaA12,19
451,Tsp19,5
451,mcr64,6
451,gadph195,16
451,aap223,1
451,aadA57,8
451,aaiC47,2
451,aaiC17,4
451,ipaH321,6
451,aac6I123,1
451,aac6I6,1
451,tetM34,1
451,eltB12,1
452,qnrB7,1070
452,aaiC47,5372
452,dfrA15,7485
452,aph6I29,585
452,sul336,98
452,mcr28,271
452,dfrA243,612
452,ant2Ia1,69
452,dfrA369,707
452,eae6271,61
452,ipaH921,212
452,dfrA58,192
452,bfpA82,180
452,sul15,98
452,tetA13,95
452,sul22,17
452,stx1301,45
452,invE132,172
452,aadA57,5
452,tetB43,25
452,aac3VI23,31
452,gadph195,20
452,dfrA1,12
452,eltA73,16
452,mcr64,6
452,stx23291,10
452,yjaA12,19
452,astA13,4
452,ipaH321,10
452,qnrS1,1
452,trpA354,27
452,chuA24,20
452,aac6I6,3
452,aggR11,2
452,mphA18,3
452,Tsp19,6
452,eae111,4
452,stx11581,6
452,uidA616,7
452,estIa94,1
452,stx2181,1
452,ermB1,1
452,tetM34,1
453,dfrA15,7229
453,aaiC47,5447
453,qnrB7,1034
453,dfrA369,768
453,aph6I29,500
453,dfrA243,585
453,ipaH921,192
453,tetA13,103
453,bfpA82,187
453,dfrA58,186
453,invE132,202
453,mcr28,339
453,tetB43,32
453,eae6271,34
453,sul336,79
453,eltA73,14
453,sul22,18
453,ant2Ia1,49
453,sul15,107
453,gadph195,11
453,chuA24,20
453,stx1301,45
453,trpA354,22
453,dfrA1,17
453,stx23291,11
453,aac3VI23,28
