isolate,probe,per_ident
HH03C,astA13,100
HH03C,trpA354,97.5
HH03C,Tsp19,100
HH03C,uidA160,100
HH03C,uidA616,100
HH03CH,aac6I123,100
HH03CH,aadA57,100
HH03CH,aatA12314,100
HH03CH,dfrA369,100
HH03CH,intI1,100
HH03CH,sul22,100
HH03CH,trpA354,97.5
HH03CH,Tsp19,100
HH03CH,uidA160,100
HH03CH,uidA616,100
HH03H,tetA13,100
HH03H,trpA354,97.5
HH03H,Tsp19,100
HH03H,uidA160,100
HH03H,uidA616,100
HH03S,trpA354,97.5
HH03S,Tsp19,100
HH03S,uidA160,97.5
HH03S,uidA616,100
HH08C,aatA12314,100
HH08C,stx11581,100
HH08C,stx1301,100
HH08C,stx2181,100
HH08C,stx23291,100
HH08C,trpA354,97.5
HH08C,tsp19,100
HH08C,uidA160,100
HH08C,uidA616,100
HH08CH,aatA12314,100
HH08CH,qnrS1,100
HH08CH,trpA354,97.5
HH08CH,uidA160,100
HH08CH,uidA616,100
HH08H,chuA24,100
HH08H,trpA354,97.5
HH08H,Tsp19,100
HH08H,uidA160,100
HH08H,uidA616,100
HH13C,trpA354,97.5
HH13C,Tsp19,100
HH13C,uidA160,100
HH13C,uidA616,100
HH13CH,aac6I123,100
HH13CH,aadA57,100
HH13CH,aph6I29,100
HH13CH,dfrA369,100
HH13CH,intI1,100
HH13CH,sul22,100
HH13CH,tetB43,100
HH13CH,trpA354,97.5
HH13CH,Tsp19,100
HH13CH,uidA160,100
HH13CH,uidA616,100
HH13H,aac6I123,100
HH13H,aadA57,100
HH13H,dfrA369,100
HH13H,eltA4510,100
HH13H,eltA73,100
HH13H,eltB12,100
HH13H,eltB2318,100
HH13H,mphA18,100
HH13H,qnrB7,100
HH13H,sul15,100
HH13H,trpA354,97.5
HH13H,Tsp19,100
HH13H,uidA160,100
HH13H,uidA616,100
HH13S,trpA354,97.5
HH13S,Tsp19,100
HH13S,uidA160,100
HH13S,uidA616,100
HH14C,trpA354,97.5
HH14C,Tsp19,100
HH14C,uidA160,100
HH14C,uidA616,100
HH14CH,aac6I123,100
HH14CH,aadA57,100
HH14CH,aatA12314,100
HH14CH,dfrA369,100
HH14CH,intI1,100
HH14CH,sul22,100
HH14CH,tetA13,100
HH14CH,trpA354,97.5
HH14CH,Tsp19,100
HH14CH,uidA160,100
HH14CH,uidA616,100
HH14H,aac6I123,100
HH14H,aadA57,100
HH14H,aatA12314,100
HH14H,arpA19,100
HH14H,dfrA3691,100
HH14H,intI125,100
HH14H,sul221,100
HH14H,trpA354,97.5
HH14H,tsp19,100
HH14H,uidA160,100
HH14H,uidA616,100
HH14H,yjaA12,100
HH14S,trpA354,97.5
HH14S,Tsp19,100
HH14S,uidA160,100
HH14S,uidA616,100
HH15C,trpA354,95
HH15C,Tsp19,100
HH15C,uidA160,97.5
HH15C,uidA616,100
HH15CH,aac6I123,100
HH15CH,aph6I29,100
HH15CH,arpA19,100
HH15CH,aatA12314,100
HH15CH,chuA24,100
HH15CH,dfrA11,100
HH15CH,eae111,100
HH15CH,eae6271,95
HH15CH,qnrS1,100
HH15CH,trpA354,97.5
HH15CH,uidA160,100
HH15CH,uidA616,100
HH15CH,yjaA12,100
HH15H,chuA24,100
HH15H,ermB1,100
HH15H,trpA354,100
HH15H,Tsp19,100
HH15H,uidA160,95
HH15H,uidA616,100
HH15H,yjaA12,100
HH16C,aatA12314,0
HH16C,trpA354,97.5
HH16C,Tsp19,100
HH16C,uidA160,100
HH16C,uidA616,100
HH16CH,trpA354,97.5
HH16CH,Tsp19,100
HH16CH,uidA160,100
HH16CH,uidA616,100
HH16H,aac6I123,100
HH16H,aadA1,100
HH16H,aadA21,100
HH16H,dfrA369,100
HH16H,ermB11,100
HH16H,intI1,100
HH16H,mphA18,100
HH16H,sul336,100
HH16H,tetA13,100
HH16H,trpA354,97.5
HH16H,Tsp19,100
HH16H,uidA160,100
HH16H,uidA616,100
HH16S,astA13,100
HH16S,trpA354,97.5
HH16S,Tsp19,100
HH16S,uidA160,100
HH16S,uidA616,100
HH17C,aatA12314,100
HH17C,arpA19,100
HH17C,astA13,97.5
HH17C,trpA354,97.5
HH17C,uidA160,100
HH17C,uidA616,100
HH17C,yjaA12,100
HH17CH,aatA12314,100
HH17CH,tetA13,100
HH17CH,trpA354,97.5
HH17CH,Tsp19,100
HH17CH,uidA160,100
HH17CH,uidA616,100
HH17H,trpA354,95
HH17H,uidA160,100
HH17H,uidA616,100
HH17S,aac6I123,100
HH17S,aatA12314,100
HH17S,trpA354,97.5
HH17S,tsp19,100
HH17S,uidA160,100
HH17S,uidA616,100
HH17S,yjaA12,100
HH18C,aatA12314,100
HH18C,astA13,100
HH18C,trpA354,97.5
HH18C,uidA160,100
HH18C,uidA616,100
HH18CH,aatA12314,100
HH18CH,trpA354,97.5
HH18CH,uidA160,100
HH18CH,uidA616,100
HH18H,arpA19,100
HH18H,chuA24,100
HH18H,trpA354,97.5
HH18H,uidA160,97.5
HH18H,uidA616,97.5
HH18S,astA13,100
HH18S,trpA354,97.5
HH18S,Tsp19,100
HH18S,uidA160,100
HH18S,uidA616,100
