isolate,probe,per_ident,AlignmentLength
Kp_R884,aac3II63,100,40
Ecoli70,aac6I123,100,40
Kp_R884,aac6I123,100,40
Kp_R884,aac6I6,100,40
Ecoli70,aadA57,100,40
Ecoli70,aaiC17,100,40
Ecoli70,aaiC47,100,40
Kp_R884,aph6I29,100,40
Ecoli70,arpA19,100,40
Ecoli70,chuA24,100,40
Kp_R884,dfrA243,100,40
Ecoli70,dfrA369,100,40
K_oxytoca,gadph195,100,40
Kp_R884,gadph195,100,40
Kp_S100,gadph195,100,40
Kp_R884,intI125,100,40
S_enterica,invE132,100,40
Ecoli70,mphA18,100,40
Ecoli70,qnrS1,100,40
Ecoli70,sul15,100,40
Kp_R884,sul22,100,40
Kp_R884,tetA13,100,40
Ecoli70,trpA354,97.5,40
Ecoli70,uidA160,97.5,40
Ecoli70,uidA616,97.5,40
